date	Paris	Londres	Moscow	Madrid	Casablanca	Abidjan	Dakar	New York	Los Angles	Toronto	Istanbul	Shanghai	Tokyo	Melbourne	Vide
1946-05-01	13.477	10.839	11.495	10.394	16.317	27.001	23.144	14.73	16.144000000000002	10.687999999999999	16.860999999999994	16.860999999999994	14.932999999999998	10.345	
1946-06-01	15.286	13.753	19.192999999999998	17.090999999999998	22.541	25.236	25.87	19.16	20.86	16.371	21.292	21.292	21.507	7.592999999999999	
1946-07-01	19.116	17.059	18.205	21.653000000000002	26.758000000000006	24.383000000000006	27.763	22.165	24.171	19.348000000000006	23.265	23.265	24.965000000000003	8.684000000000001	
1946-08-01	17.026	15.335	18.413	20.904	25.449	23.543000000000003	28.128	19.537	24.043000000000006	17.113	24.285	24.285	25.07	8.396	
1946-09-01	15.890999999999998	14.244000000000002	11.195	17.812	22.696	24.67	28.160999999999998	18.526	22.202	15.352	21.961	21.961	20.649	9.722000000000001	
1946-10-01	10.446000000000002	9.941	-0.0860000000000003	13.265	18.817	25.545	28.154	13.431	15.294	10.972999999999999	13.231	13.231	14.937000000000001	10.625	
1946-11-01	7.337999999999999	7.718	-4.01	6.797000000000001	14.383	26.898000000000003	25.964000000000002	7.4380000000000015	10.763	3.486	13.424000000000001	13.424000000000001	10.668	14.695	
1946-12-01	1.013	2.314	-8.137	2.4859999999999998	9.592	26.633000000000003	23.215	0.3570000000000001	9.835	-4.253	7.502000000000001	7.502000000000001	2.301	17.019000000000002	
1947-01-01	0.34799999999999986	1.374	-10.870999999999999	2.5469999999999997	9.966000000000001	26.540000000000006	20.901	0.129	8.066	-5.9270000000000005	1.9989999999999992	1.9989999999999992	1.273	18.704	
1947-02-01	-0.7219999999999995	-1.956	-14.011	4.356	11.274	27.923000000000002	20.171	-3.623	11.501	-8.902999999999999	7.216	7.216	0.141	20.976999999999997	
1947-03-01	6.601	3.872	-4.964	8.290000000000001	15.520999999999999	28.255	22.553	1.162	12.998	-3.887000000000001	11.6	11.6	4.184	17.183999999999994	
1947-04-01	11.427	8.725999999999999	4.946000000000001	11.874	16.964000000000002	27.531	21.96	8.677999999999999	15.052	2.9840000000000004	12.864	12.864	10.524	14.057	
1947-05-01	15.645	13.59	10.427	13.665999999999999	17.93	27.1	22.469	14.524	18.454	9.597000000000001	16.866999999999994	16.866999999999994	14.897999999999998	12.505	
1947-06-01	18.282	16.25	16.944000000000003	19.817999999999998	22.583	25.892	24.921	18.729	20.131	16.333	21.368000000000002	21.368000000000002	18.108	8.914	
1947-07-01	20.668000000000003	17.941000000000006	17.844	23.276999999999997	24.328000000000003	24.869	27.651999999999997	22.191999999999997	23.419	19.076	23.3	23.3	24.497000000000003	8.191	
1947-08-01	21.636000000000006	19.104	16.349	21.548	24.772	24.633000000000003	28.109	22.825	22.553	21.819000000000003	22.178	22.178	26.154	8.127	
1947-09-01	17.96	15.672	11.532	17.562	23.249000000000002	24.897	27.885	18.135	22.677	15.536	19.168	19.168	20.854000000000006	10.452	
1947-10-01	11.355	10.523	2.7039999999999997	13.050999999999998	19.064	25.839	28.058000000000003	14.251	17.053	12.925	13.312999999999999	13.312999999999999	13.465	12.027000000000001	
1947-11-01	7.851	6.952000000000001	-1.7040000000000002	9.628	16.386	26.433000000000003	25.888	3.787	10.869000000000002	0.617	11.88	11.88	7.8820000000000014	13.66	
1947-12-01	4.484	5.007	-3.9580000000000006	2.9320000000000004	10.221	26.541	23.901	-1.905	9.013	-6.002000000000002	10.015	10.015	1.915	16.851	
